id,category,question,answer,difficulty,tags,source,has_image_reference
1,Login,How do I reset my password?,"Step 1: Go to the login page
Step 2: Click 'Forgot Password' link below the login button
Step 3: Enter your registered email address
Step 4: Check your email for a password reset link (arrives within 5 minutes)
Step 5: Click the link in the email to open the password reset form
Step 6: Enter your new password (minimum 8 characters, include uppercase, lowercase, numbers)
Step 7: Confirm your new password by typing it again
Step 8: Click 'Reset Password' button
Step 9: Return to login page and sign in with your new password",Easy,password reset account access,Company FAQ,No
2,Login,I forgot my username. How can I recover it?,"Step 1: Go to the login page
Step 2: Click 'Forgot Username' link near 'Forgot Password'
Step 3: Enter your registered email address
Step 4: Click 'Send Recovery Link'
Step 5: Check your email for your username
Step 6: If no email received, check spam folder
Step 7: If still not found, contact support with your registered email
Step 8: Return to login page and enter your username",Easy,username recovery account access,Company FAQ,No
3,Technical,Why am I getting 'Invalid credentials' error?,"Step 1: Verify you are entering the correct username (not email unless that's your username)
Step 2: Check that CAPS LOCK is not turned on
Step 3: Ensure your password is correct (passwords are case-sensitive)
Step 4: If unsure about password, use 'Forgot Password' option
Step 5: Clear your browser cache and cookies, then try again
Step 6: Try logging in from a different browser
Step 7: If error persists, contact support with your username",Medium,login errors troubleshooting,Company FAQ,No
4,Technical,How do I enable two-factor authentication (2FA)?,"Step 1: Log into your account
Step 2: Go to Settings (top-right corner or menu)
Step 3: Click 'Security' or 'Account Security'
Step 4: Find 'Two-Factor Authentication' option
Step 5: Click 'Enable 2FA'
Step 6: Choose your 2FA method (authenticator app, SMS, or email)
Step 7: If using authenticator app, download Google Authenticator or Microsoft Authenticator
Step 8: Scan the QR code displayed on screen with your authenticator app
Step 9: Enter the 6-digit code from your authenticator app
Step 10: Save your backup codes in a safe place",Medium,security two-factor authentication account protection,Company FAQ,No
5,Mobile,White screen appears when first entering the application,"Step 1: Make sure VPN is turned off (VPN can block access)
Step 2: Check your internet connection (minimum 2 Mbps required)
Step 3: Clear app cache (Settings > Apps > [App Name] > Storage > Clear Cache)
Step 4: Force close the app and restart it
Step 5: If issue persists, try restarting your device
Step 6: Update the app to the latest version
Step 7: If still showing white screen, uninstall and reinstall the app
Step 8: Contact support if the issue continues",Medium,white screen app launch troubleshooting,Manager Documents,Yes
6,Mobile,Video not appearing after clicking on a lesson,"Step 1: Check your internet connection (videos require stable connection)
Step 2: Make sure you are using the latest version of the app
Step 3: Clear the app cache (Settings > Apps > [App Name] > Storage > Clear Cache)
Step 4: Try refreshing the lesson page
Step 5: Close the app completely and reopen it
Step 6: Try accessing the video on a different device or network
Step 7: Check if the video is available in your course
Step 8: If video still doesn't appear, contact support with your course ID and lesson ID",Medium,video playback mobile troubleshooting,Manager Documents,Yes
7,Mobile,App is slow or hangs frequently,"Step 1: Check your internet connection speed (minimum 2 Mbps recommended)
Step 2: Close other apps running in the background
Step 3: Clear app cache (Settings > Apps > [App Name] > Storage > Clear Cache)
Step 4: Check if your device has enough free storage space (at least 500MB recommended)
Step 5: Update the app to the latest version
Step 6: Restart your device
Step 7: If performance is still slow, try uninstalling and reinstalling the app
Step 8: Contact support if the issue persists",Medium,performance app slow freezing,Manager Documents,No
8,Windows,CMD Not Working Error,"Step 1: The error 'Exec command: Error: spawn C:\\Windows\\system32\\cmd.exe' means cmd.exe is missing or not working
Step 2: Open PowerShell as Administrator
Step 3: Run the following command: sfc /SCANNOW
Step 4: Wait for the scan to complete (this may take 15-30 minutes)
Step 5: If errors are found, the system will attempt to repair them automatically
Step 6: Restart your computer after the scan completes
Step 7: Try running the application again
Step 8: If the error persists, contact IT support",Hard,cmd.exe windows error system,Manager Documents,No
9,Windows,Infinite Loading Problem - Error aborted timed out,"Step 1: Make sure you can access admin.joacademy.net in your browser
Step 2: Try accessing the site from a different network or restart your router
Step 3: Restart your device
Step 4: Delete the JoAcademy folder from AppData (C:\\Users\\[YourUsername]\\AppData\\Local\\JoAcademy)
Step 5: Reinstall the application
Step 6: Clear your browser cache and cookies
Step 7: Disable VPN or proxy if active
Step 8: If the issue persists, contact Ahmad Aqteish (IT) or submit a ticket to QA",Hard,infinite loading timeout error windows,Manager Documents,No
10,Windows,White Screen Problem on Windows,"Step 1: Change your network or restart your router
Step 2: Make sure there's no active VPN or antivirus software blocking the connection
Step 3: In Windows search, type 'VPN' and go to settings
Step 4: Turn off VPN if it's enabled
Step 5: Go to Proxy Settings and turn it off
Step 6: Clear browser cache and cookies
Step 7: Try accessing the application again
Step 8: If the problem persists, contact support",Medium,white screen windows network,Manager Documents,No
11,Windows,Remote Desktop Issue - Error JDV-08,"Step 1: The error JDV-08 appears when Remote Desktop is enabled
Step 2: This is a security feature that prevents access from virtual environments
Step 3: To fix: Disable Remote Desktop on your device
Step 4: Go to Settings > System > Remote Desktop
Step 5: Toggle off 'Enable Remote Desktop'
Step 6: Restart your device
Step 7: Try accessing the application again
Step 8: If the error persists, contact support with your device information",Medium,JDV-08 remote desktop error,Manager Documents,No
12,Windows,Windows 7/8 Error on Windows 11,"Step 1: This error occurs when running legacy applications on newer Windows versions
Step 2: Right-click the application executable file
Step 3: Select 'Properties'
Step 4: Go to 'Compatibility' tab
Step 5: Check 'Run this program in compatibility mode for:'
Step 6: Select 'Windows 7' or 'Windows 8' from the dropdown
Step 7: Click 'Apply' then 'OK'
Step 8: Try running the application again",Medium,windows compatibility error,Manager Documents,No
9,macOS,Open Anyway Option Not Working,"Step 1: When trying to open the app from settings, the 'Open Anyway' option doesn't respond
Step 2: Open Terminal (press Command+Space, then type Terminal)
Step 3: Run this command: sudo spctl --master-disable
Step 4: Enter your password when prompted
Step 5: Go to System Preferences > Security & Privacy
Step 6: Select 'Anywhere' for allowing apps
Step 7: Try opening the application again
Step 8: After the app works, re-enable security by running: sudo spctl --master-enable",Hard,macOS security open anyway,Manager Documents,No
14,Technical,What do JDV error codes mean?,"JDV-01: Screen Recording Detected
JDV-02: Virtual Machine or Virtual Environment
JDV-03: Virtual Network (Usually due to VPN)
JDV-04: Hacking Attempt
JDV-05: Hacking Attempt
JDV-06: Use of a Blocked Network
JDV-07: Screen Recording or Hacking Tools
JDV-08: Remote Desktop Enabled
JDV-09: Use of Software that Violates Policies

If you encounter any of these errors, review the specific cause and follow the appropriate troubleshooting steps. Contact support if you need assistance.",Medium,JDV error codes security,Manager Documents,No
